"","iso_o","iso_d","dist"
"235","Arizona","NorthDakota",1896.71390053487
"236","Arizona","Ohio",2724.76867860651
"237","Arizona","Oklahoma",1429.32818482211
"238","Arizona","Oregon",1535.86506917931
"239","Arizona","Pennsylvania",3205.80775979664
"240","Arizona","POL",60536.5572419395
"241","Arizona","PRT",22591.0186014645
"242","Arizona","RhodeIsland",3678.66757692022
"243","Arizona","ROU",75049.810557571
"244","Arizona","RoW",40361.5456120194
"245","Arizona","RUS",26111.7246939334
"246","Arizona","SouthCarolina",2881.34752993751
"247","Arizona","SouthDakota",1650.72275312097
"248","Arizona","SVK",81177.1595049073
"249","Arizona","SVN",51880.8654211506
"250","Arizona","SWE",37633.3449813225
"251","Arizona","Tennessee",2365.68415565914
"252","Arizona","Texas",1378.48689334998
"253","Arizona","TUR",23209.2120137664
"254","Arizona","TWN",20629.6126362225
"255","Arizona","Utah",756.000444152361
"256","Arizona","Vermont",3592.28369183464
"257","Arizona","Virginia",3136.36839024223
"258","Arizona","Washington",1735.24519912329
"259","Arizona","WestVirginia",2885.54690645337
"260","Arizona","Wisconsin",2328.11520603449
"261","Arizona","Wyoming",1141.23204715594
"262","Arkansas","Alabama",586.066585067413
"263","Arkansas","Alaska",4827.14462798766
"264","Arkansas","Arizona",1807.23999941324
"265","Arkansas","Arkansas",138.580328842895
"266","Arkansas","AUS",21345.5207022837
"267","Arkansas","AUT",35579.5080053815
"268","Arkansas","BEL",18639.4589820466
"269","Arkansas","BGR",36582.3649817263
"270","Arkansas","BRA",16072.5786133404
"271","Arkansas","California",2396.17714020157
"272","Arkansas","CAN",3052.30096791778
"273","Arkansas","CHN",36953.8805024687
"274","Arkansas","Colorado",1192.84014910344
"275","Arkansas","Connecticut",1860.20067095935
"276","Arkansas","CYP",27541.2617422902
"277","Arkansas","CZE",53719.7358641363
"278","Arkansas","Delaware",1580.13002047348
"279","Arkansas","DEU",39547.7543630689
"280","Arkansas","DNK",28481.2169436795
"281","Arkansas","ESP",22124.4254813924
"282","Arkansas","EST",21658.6863145288
"283","Arkansas","FIN",29861.2916923648
"284","Arkansas","Florida",1279.6697419495
"285","Arkansas","FRA",20853.6595840586
"286","Arkansas","GBR",16255.3701398961
"287","Arkansas","Georgia",813.168764129582
"288","Arkansas","GRC",26139.294402399
"289","Arkansas","Hawaii",6462.41413600494
"290","Arkansas","HUN",43332.7650039963
"291","Arkansas","Idaho",2146.42754329296
"292","Arkansas","IDN",95758.183726534
"293","Arkansas","Illinois",748.289218610983
"294","Arkansas","IND",77598.6608619591
"295","Arkansas","Indiana",777.906840737679
"296","Arkansas","Iowa",761.216618818367
"297","Arkansas","IRL",25046.3671322456
"298","Arkansas","ITA",20127.885287248
"299","Arkansas","JPN",14911.8434175481
"300","Arkansas","Kansas",486.127147123842
"301","Arkansas","Kentucky",689.169062384532
